x_mm,y_mm,z_mm,pressure_Pa,velocity_scalar_mm_s,radiation_pressure_Pa,offset_mm
8.333333e-01,-8.333333e-01,-5.000000e-01,3.947763e+03,9.395522e+09,1.081379e+08,-2.000000e+00
-8.333333e-01,8.333333e-01,-5.000000e-01,3.947763e+03,9.395522e+09,1.081379e+08,-2.000000e+00
-8.333333e-01,8.333333e-01,5.000000e-01,3.947763e+03,9.395522e+09,1.081379e+08,-2.000000e+00
8.333333e-01,-8.333333e-01,5.000000e-01,3.947763e+03,9.395522e+09,1.081379e+08,-2.000000e+00
5.000000e-01,8.333333e-01,8.333333e-01,3.947763e+03,9.395522e+09,1.081379e+08,-2.000000e+00
5.000000e-01,-8.333333e-01,-8.333333e-01,3.947763e+03,9.395522e+09,1.081379e+08,-2.000000e+00
8.333333e-01,-5.000000e-01,8.333333e-01,4.241013e+03,1.009344e+10,1.248001e+08,-2.000000e+00
-8.333333e-01,-5.000000e-01,-8.333333e-01,4.241013e+03,1.009344e+10,1.248001e+08,-2.000000e+00
-5.000000e-01,-8.333333e-01,8.333333e-01,3.947763e+03,9.395522e+09,1.081379e+08,-2.000000e+00
-5.000000e-01,8.333333e-01,-8.333333e-01,3.947763e+03,9.395522e+09,1.081379e+08,-2.000000e+00
8.333333e-01,5.000000e-01,-8.333333e-01,4.241013e+03,1.009344e+10,1.248001e+08,-2.000000e+00
-8.333333e-01,5.000000e-01,8.333333e-01,4.241013e+03,1.009344e+10,1.248001e+08,-2.000000e+00
8.333333e-01,-8.333333e-01,-1.500000e+00,3.634913e+03,8.650950e+09,9.167770e+07,-1.000000e+00
-8.333333e-01,8.333333e-01,-1.500000e+00,3.634913e+03,8.650950e+09,9.167769e+07,-1.000000e+00
-8.333333e-01,8.333333e-01,1.500000e+00,3.634913e+03,8.650950e+09,9.167770e+07,-1.000000e+00
8.333333e-01,-8.333333e-01,1.500000e+00,3.634913e+03,8.650950e+09,9.167769e+07,-1.000000e+00
1.500000e+00,8.333333e-01,8.333333e-01,3.634913e+03,8.650950e+09,9.167770e+07,-1.000000e+00
1.500000e+00,-8.333333e-01,-8.333333e-01,3.634913e+03,8.650950e+09,9.167769e+07,-1.000000e+00
8.333333e-01,-1.500000e+00,8.333333e-01,2.684890e+03,6.389933e+09,5.001827e+07,-1.000000e+00
-8.333333e-01,-1.500000e+00,-8.333333e-01,2.684890e+03,6.389933e+09,5.001827e+07,-1.000000e+00
-1.500000e+00,-8.333333e-01,8.333333e-01,3.634913e+03,8.650950e+09,9.167769e+07,-1.000000e+00
-1.500000e+00,8.333333e-01,-8.333333e-01,3.634913e+03,8.650950e+09,9.167770e+07,-1.000000e+00
8.333333e-01,1.500000e+00,-8.333333e-01,2.684890e+03,6.389933e+09,5.001827e+07,-1.000000e+00
-8.333333e-01,1.500000e+00,8.333333e-01,2.684890e+03,6.389933e+09,5.001827e+07,-1.000000e+00
8.333333e-01,-8.333333e-01,-2.000000e+00,3.372627e+03,8.026721e+09,7.892460e+07,-5.000000e-01
-8.333333e-01,8.333333e-01,-2.000000e+00,3.372627e+03,8.026720e+09,7.892459e+07,-5.000000e-01
-8.333333e-01,8.333333e-01,2.000000e+00,3.372627e+03,8.026721e+09,7.892460e+07,-5.000000e-01
8.333333e-01,-8.333333e-01,2.000000e+00,3.372627e+03,8.026720e+09,7.892459e+07,-5.000000e-01
2.000000e+00,8.333333e-01,8.333333e-01,3.372627e+03,8.026721e+09,7.892460e+07,-5.000000e-01
2.000000e+00,-8.333333e-01,-8.333333e-01,3.372627e+03,8.026720e+09,7.892459e+07,-5.000000e-01
8.333333e-01,-2.000000e+00,8.333333e-01,1.490542e+03,3.547430e+09,1.541572e+07,-5.000000e-01
-8.333333e-01,-2.000000e+00,-8.333333e-01,1.490542e+03,3.547430e+09,1.541572e+07,-5.000000e-01
-2.000000e+00,-8.333333e-01,8.333333e-01,3.372627e+03,8.026720e+09,7.892459e+07,-5.000000e-01
-2.000000e+00,8.333333e-01,-8.333333e-01,3.372627e+03,8.026721e+09,7.892460e+07,-5.000000e-01
8.333333e-01,2.000000e+00,-8.333333e-01,1.490542e+03,3.547430e+09,1.541572e+07,-5.000000e-01
-8.333333e-01,2.000000e+00,8.333333e-01,1.490542e+03,3.547430e+09,1.541572e+07,-5.000000e-01
8.333333e-01,-8.333333e-01,-2.500000e+00,3.050588e+03,7.260279e+09,6.457178e+07,0.000000e+00
-8.333333e-01,8.333333e-01,-2.500000e+00,3.050587e+03,7.260278e+09,6.457175e+07,0.000000e+00
-8.333333e-01,8.333333e-01,2.500000e+00,3.050588e+03,7.260279e+09,6.457178e+07,0.000000e+00
8.333333e-01,-8.333333e-01,2.500000e+00,3.050587e+03,7.260278e+09,6.457175e+07,0.000000e+00
2.500000e+00,8.333333e-01,8.333333e-01,3.050588e+03,7.260279e+09,6.457178e+07,0.000000e+00
2.500000e+00,-8.333333e-01,-8.333333e-01,3.050587e+03,7.260278e+09,6.457175e+07,0.000000e+00
8.333333e-01,-2.500000e+00,8.333333e-01,2.403884e+02,5.721150e+08,4.009615e+05,0.000000e+00
-8.333333e-01,-2.500000e+00,-8.333333e-01,2.403884e+02,5.721150e+08,4.009615e+05,0.000000e+00
-2.500000e+00,-8.333333e-01,8.333333e-01,3.050587e+03,7.260278e+09,6.457175e+07,0.000000e+00
-2.500000e+00,8.333333e-01,-8.333333e-01,3.050588e+03,7.260279e+09,6.457178e+07,0.000000e+00
8.333333e-01,2.500000e+00,-8.333333e-01,2.403884e+02,5.721150e+08,4.009615e+05,0.000000e+00
-8.333333e-01,2.500000e+00,8.333333e-01,2.403884e+02,5.721150e+08,4.009615e+05,0.000000e+00
8.333333e-01,-8.333333e-01,-3.000000e+00,2.679300e+03,6.376630e+09,4.981022e+07,5.000000e-01
-8.333333e-01,8.333333e-01,-3.000000e+00,2.679299e+03,6.376627e+09,4.981019e+07,5.000000e-01
-8.333333e-01,8.333333e-01,3.000000e+00,2.679300e+03,6.376630e+09,4.981022e+07,5.000000e-01
8.333333e-01,-8.333333e-01,3.000000e+00,2.679299e+03,6.376627e+09,4.981019e+07,5.000000e-01
3.000000e+00,8.333333e-01,8.333333e-01,2.679300e+03,6.376630e+09,4.981022e+07,5.000000e-01
3.000000e+00,-8.333333e-01,-8.333333e-01,2.679299e+03,6.376627e+09,4.981019e+07,5.000000e-01
8.333333e-01,-3.000000e+00,8.333333e-01,1.218298e+03,2.899501e+09,1.029871e+07,5.000000e-01
-8.333333e-01,-3.000000e+00,-8.333333e-01,1.218298e+03,2.899501e+09,1.029871e+07,5.000000e-01
-3.000000e+00,-8.333333e-01,8.333333e-01,2.679299e+03,6.376627e+09,4.981019e+07,5.000000e-01
-3.000000e+00,8.333333e-01,-8.333333e-01,2.679300e+03,6.376630e+09,4.981022e+07,5.000000e-01
8.333333e-01,3.000000e+00,-8.333333e-01,1.218298e+03,2.899501e+09,1.029871e+07,5.000000e-01
-8.333333e-01,3.000000e+00,8.333333e-01,1.218298e+03,2.899501e+09,1.029871e+07,5.000000e-01
8.333333e-01,-8.333333e-01,-3.500000e+00,2.270680e+03,5.404130e+09,3.577566e+07,1.000000e+00
-8.333333e-01,8.333333e-01,-3.500000e+00,2.270679e+03,5.404127e+09,3.577561e+07,1.000000e+00
-8.333333e-01,8.333333e-01,3.500000e+00,2.270680e+03,5.404130e+09,3.577566e+07,1.000000e+00
8.333333e-01,-8.333333e-01,3.500000e+00,2.270679e+03,5.404127e+09,3.577561e+07,1.000000e+00
3.500000e+00,8.333333e-01,8.333333e-01,2.270680e+03,5.404130e+09,3.577566e+07,1.000000e+00
3.500000e+00,-8.333333e-01,-8.333333e-01,2.270679e+03,5.404127e+09,3.577561e+07,1.000000e+00
8.333333e-01,-3.500000e+00,8.333333e-01,2.437357e+03,5.800814e+09,4.122056e+07,1.000000e+00
-8.333333e-01,-3.500000e+00,-8.333333e-01,2.437357e+03,5.800814e+09,4.122056e+07,1.000000e+00
-3.500000e+00,-8.333333e-01,8.333333e-01,2.270679e+03,5.404127e+09,3.577561e+07,1.000000e+00
-3.500000e+00,8.333333e-01,-8.333333e-01,2.270680e+03,5.404130e+09,3.577566e+07,1.000000e+00
8.333333e-01,3.500000e+00,-8.333333e-01,2.437357e+03,5.800814e+09,4.122056e+07,1.000000e+00
-8.333333e-01,3.500000e+00,8.333333e-01,2.437357e+03,5.800814e+09,4.122056e+07,1.000000e+00
8.333333e-01,-8.333333e-01,-4.500000e+00,1.393226e+03,3.315822e+09,1.346848e+07,2.000000e+00
-8.333333e-01,8.333333e-01,-4.500000e+00,1.393223e+03,3.315815e+09,1.346842e+07,2.000000e+00
-8.333333e-01,8.333333e-01,4.500000e+00,1.393226e+03,3.315822e+09,1.346848e+07,2.000000e+00
8.333333e-01,-8.333333e-01,4.500000e+00,1.393223e+03,3.315815e+09,1.346842e+07,2.000000e+00
4.500000e+00,8.333333e-01,8.333333e-01,1.393226e+03,3.315822e+09,1.346848e+07,2.000000e+00
4.500000e+00,-8.333333e-01,-8.333333e-01,1.393223e+03,3.315815e+09,1.346842e+07,2.000000e+00
8.333333e-01,-4.500000e+00,8.333333e-01,4.097920e+03,9.752889e+09,1.165206e+08,2.000000e+00
-8.333333e-01,-4.500000e+00,-8.333333e-01,4.097920e+03,9.752889e+09,1.165206e+08,2.000000e+00
-4.500000e+00,-8.333333e-01,8.333333e-01,1.393223e+03,3.315815e+09,1.346842e+07,2.000000e+00
-4.500000e+00,8.333333e-01,-8.333333e-01,1.393226e+03,3.315822e+09,1.346848e+07,2.000000e+00
8.333333e-01,4.500000e+00,-8.333333e-01,4.097920e+03,9.752889e+09,1.165206e+08,2.000000e+00
-8.333333e-01,4.500000e+00,8.333333e-01,4.097920e+03,9.752889e+09,1.165206e+08,2.000000e+00
