x,y,z
-3.930804732820517344e+00,4.454065200000000146e+01,-2.833207098027285653e+00
2.190650854894167665e+01,3.214850335496734601e+01,-4.454323348443164576e+00
-2.575603389776468966e+00,7.378049817624802387e+00,1.807701766400069587e+01
6.298944282557755514e+00,0.000000000000000000e+00,-3.921682203805124001e+00
6.142693541929716616e+00,1.218129014743206540e+01,1.845394117115840515e+01
8.628328716730933934e+00,9.904948723116877574e+00,-2.034089194375672349e+01
-1.732446752943046064e+01,3.948748843029451905e+01,-2.226980288633619409e+00
2.030548938632760780e+01,1.538718798988868386e+01,1.014542139781299923e+01
4.009681872634363486e+00,4.454065200000000146e+01,-3.702909371104557312e+00
-4.744827798069231051e+00,3.364329701161260289e+01,1.758789977525477255e+01
-3.510177713990749737e+00,4.454065200000000146e+01,-1.158598961309883535e+01
5.067900790987319937e+00,2.877044682483908034e+01,2.002432544147950111e+01
-5.014372989142637849e+00,3.143320271640889629e+01,1.869294718266882427e+01
1.005604408690601304e+01,2.120691533167877907e+01,2.118886936200712867e+01
-1.727876280755156202e+01,8.801571522437194872e+00,-7.227931979239256677e+00
2.596656353046347476e+01,1.994121058476768127e+01,1.486054538980072337e+00
1.950949217824592807e+01,3.469636081491353252e+01,-1.199585957656530866e+00
-1.697257287819822125e+01,1.545280524756923057e+01,-1.893220987375262609e+01
-1.108989352960861119e+01,0.000000000000000000e+00,-1.060825719116096977e+01
8.656339104664674267e-01,4.454065200000000146e+01,-1.618528266706812246e+01
7.612401642446286587e+00,4.454065200000000146e+01,3.032927940154692692e+00
-2.675954213818725336e+00,4.454065200000000146e+01,-1.218026328578809903e+01
1.380290418978962208e+01,3.369899228382880807e+00,7.442732722141816026e+00
-1.125321552103463851e+01,3.700100895553617164e+01,-1.512143063342786320e+01
7.683817179251498430e+00,0.000000000000000000e+00,-6.268382091413023716e+00
2.238520218939341433e+01,1.906998743643342209e+01,1.091051687232326373e+01
-7.930388601365283563e-01,2.076786987760148762e+01,-2.577235258169291043e+01
1.319622157966806242e+01,3.221532196364499612e+01,1.830188746710712877e+01
-9.799442510334381851e+00,4.620146753683323837e+00,1.112411341966517142e+01
-2.276258982371911088e+01,3.312346264004652596e+01,-8.666588212592266416e+00
-2.099780376051295505e+01,3.366756583053776808e+01,-4.115513448137807728e+00
1.984542703923082030e+01,1.688034356024175153e+01,1.140249731746033568e+01
1.966557400916066456e+01,2.610385338892482210e+01,1.222301423629924422e+01
-2.496119970591559678e+01,2.478863049315726386e+01,-9.451426832159572911e+00
1.960112729945654308e+01,1.331885292272636434e+01,-7.389543982653158594e+00
1.833821744569805290e+01,3.473959903659804382e+01,2.335266155089563256e+00
-9.806790201540696472e+00,3.412029805820299089e+01,-1.795269758929956438e+01
-1.659099538060625889e+01,2.716985242716928539e+00,5.004048699402936506e-01
-1.811824444449151628e+01,5.851527130768825025e+00,1.289989310650656584e-01
3.049716171071018778e+00,2.904949334000783878e+01,-2.599592913670268857e+01
3.985657216587515261e+00,3.585098350150061464e+01,-2.111237609065181431e+01
1.588069793100019744e+01,2.883702394511102440e+00,-1.955419845908256349e+00
-1.805069743495913315e+01,1.007712143459313126e+01,-6.916044561995597917e+00
-1.734013504934267758e+01,2.251316747416013442e+01,-1.965300454787622897e+01
1.993540147417175135e+01,1.567152144622982135e+01,-1.016745148670470300e+01
-2.203735129511910529e+01,1.945657629739625705e+01,-9.822662168993481657e+00
2.252436406457274032e+01,2.237565402472592524e+01,9.456915980280591327e+00
-1.425338142243859352e+00,4.454065200000000146e+01,1.407960858644079494e+00
-8.687073651621197712e+00,2.247513164976288991e+01,2.296728538722192070e+01
1.896348586212109666e+01,6.261983238910367788e+00,2.066252431619648888e+00
1.579662829510784228e+01,3.113538084568535780e+01,1.598922173966469273e+01
-1.490001668931728318e+01,2.066404079071233468e+01,-2.256867757554424969e+01
-6.214067209946615655e+00,2.017732961993775831e+01,2.334390974357640758e+01
7.065199498609111117e+00,3.025177946512048521e+00,1.212491217333310800e+01
-2.416575243896509306e+01,2.150821531985716462e+01,5.808786395335975072e+00
-8.357842685153688222e+00,4.027735600147147466e+01,-1.520014848456449208e+01
2.262187056339292823e+01,3.167981618858128101e+01,-1.015029780284911176e+01
1.880055570856157487e+00,4.454065200000000146e+01,-5.612501797055434061e+00
-1.534518444321519937e+01,7.558138450067052538e+00,8.910675049480287768e+00
1.432280417256329308e+01,2.345281559970413099e+00,6.431754656250706859e+00
-1.392561691189894901e+01,4.032530529990600598e+01,6.877990134143075807e+00
-1.736731855495181165e+00,3.150555873485361857e+01,1.865676916494050275e+01
-1.829339429835397368e+01,4.035240473249699278e+01,-7.935164693877128528e+00
1.827111881055298426e+01,1.604365340438436149e+01,-1.589170893341074731e+01
-1.816658923793103142e+01,3.051057050679105132e+01,9.706195737617402841e+00
-1.441408418412924952e+01,1.740115007540548930e+01,-2.408899300078900296e+01
7.335828749979043550e+00,3.189994142185879156e+01,1.845957777507544506e+01
9.716211813583296220e+00,2.921539648502523434e+01,1.980185055907944758e+01
1.808512972328112767e+01,3.217320405372986158e+01,7.266705016587744481e+00
-2.402951488259476065e+01,2.850440337532256763e+01,-5.091987464853742651e+00
1.222781933906227181e+01,9.809162098003426422e+00,1.256678264286913915e+01
1.536406015271817083e+01,0.000000000000000000e+00,3.520320580011450762e+00
2.128616001381084999e+01,1.758834460567382862e+01,-9.111729185807048381e+00
-2.271421650013811444e+01,3.248357243470800881e+01,-7.482346399662265668e+00
-1.609108990271249695e+01,5.091656522169065724e-01,2.534181142007760013e+00
-1.908702678358282512e+01,1.671989147209372106e+01,-1.447477839957765688e+01
-1.539544088298081093e+01,3.630446176090263322e+01,8.860199733466776806e+00
-1.145350857031468017e+01,4.147452232584022624e+01,-1.221112579316529079e+01
6.804144536380585251e-01,1.376622750065809697e+01,2.340206418611186479e+01
2.264964699389569702e+01,1.614717538755334658e+01,8.911989034754601136e+00
-2.059585357657879356e+01,1.436660155671689587e+01,-6.023383921263903318e+00
-1.123002371975760028e+01,3.861597563424424351e+01,1.510155987936544619e+01
-2.076201297256088907e+01,3.015477593945460910e+01,2.293989604859209663e+00
7.600808925445861064e-01,4.022215522230447959e+01,1.429846989651756672e+01
-1.029760654329369451e+01,1.564608936518434668e+01,1.757658419516600290e+01
1.067216242621067579e+01,4.017849385498174541e+01,1.432030058531163874e+01
8.746762383118351636e+00,4.652475640956023284e+00,1.190891064577586889e+01
2.167279003079727318e+00,4.454065200000000146e+01,2.828362906236847607e+00
-1.597379955128721996e+01,2.068953386330894162e+01,-2.177277310389765574e+01
9.875554952177882484e+00,4.454065200000000146e+01,-8.564501509392581369e+00
-1.246606414003220209e+01,4.454065200000000146e+01,-7.166925004318105863e+00
7.860928877949405091e+00,0.000000000000000000e+00,-6.832934620608231313e+00
-6.145698758295257136e+00,4.454065200000000146e+01,-9.039797062740014155e+00
2.233544639640943075e+00,4.454065200000000146e+01,-4.988433464477458834e+00
-1.900356589065977886e+01,3.099193033256252150e+01,-1.320428694533256220e+01
6.181179664682765917e+00,0.000000000000000000e+00,-1.007686675993918080e+01
-1.394446380855018930e+01,8.062565310483696734e+00,-1.629411138358758393e+01
-1.719547843778557450e+01,1.865181459304904621e+01,1.442262742033445200e+01
1.608632919021277985e+01,1.473821770188180480e+01,-2.050356055086261620e+01
-1.448936735818949195e+01,2.344815894257725120e+01,-2.114635188548487577e+01
2.968547923996482929e+00,3.239388737066278168e+01,-2.398795209277547258e+01
-2.203960528814481279e+01,2.670640245261733625e+01,3.941550603227426564e+00
-1.363613981305573297e+01,5.202145925774178670e-01,5.802691954589993983e+00
-4.587763510937769240e+00,4.454065200000000146e+01,-1.105461300911476208e+01
1.891979459253686002e+01,1.045438421570073828e+01,-4.851662708500139587e+00
-1.162364044492963266e+01,3.551911375432158025e+01,-1.576816291056801767e+01
-1.859560070934667664e+01,7.554476739369359706e+00,6.546846065708590068e+00
-4.532008058890150792e+00,4.454065200000000146e+01,-9.857179775786111264e+00
-1.340805063709244749e+01,9.716606786825892073e+00,-2.024672096454077064e+01
8.109049713088008815e+00,3.471473747448250435e+01,-1.881879439314794666e+01
-1.668377847029373129e+01,2.328692089185749126e+01,1.765905285242789446e+01
-2.378129056630643845e+01,2.053427826549459922e+01,-6.199127359744222687e+00
-4.877049700696240109e+00,1.895713513625977242e+01,2.356118803137937334e+01
-5.897165279944461602e+00,8.002793403273731343e+00,-1.938981417202926494e+01
-6.898907922305172136e+00,4.454065200000000146e+01,1.121383194996294286e+01
1.044755172665868770e+01,4.454065200000000146e+01,2.369684615380100112e+00
3.498039399255602255e+00,2.496531978312792432e+01,2.192688886474508791e+01
2.811541939921749389e+00,2.846414067849744001e+01,-2.653074072744680478e+01
-2.109884856374264928e+00,4.454065200000000146e+01,-8.532237807890757253e+00
-1.807191130702354798e+01,7.280633193603623710e+00,-2.325941976321939553e+00
-6.107823196291919388e+00,0.000000000000000000e+00,2.948496271267611490e+00
9.265505610708176576e+00,3.649380369118064493e+01,-1.687905649482746639e+01
1.288297729258862390e+01,4.454065200000000146e+01,-1.971768015841420585e+00
-1.389161624425314479e+01,4.067824942607107630e+01,-1.093186047225345092e+01
8.696137288192755221e+00,1.628511366193251675e+01,1.913505844958830693e+01
-2.221030549342573934e+00,0.000000000000000000e+00,1.038984761184789818e+01
-1.390832378620055998e+01,3.480561518613807692e+01,1.586226044117638878e+01
-1.520520292484338754e+01,3.467700731753799914e+01,1.207896894109781272e+01
-1.190034333436783065e+01,1.660919842356035847e+00,-1.222718686292699708e+01
-1.845986266109304275e+00,2.226903068919666717e-01,1.418485968161332700e+01
-5.897301697849424151e-01,1.461134338014113609e+01,2.399026055106864064e+01
1.589428113693126576e+01,7.640268423825705923e+00,-9.609900506568438416e+00
6.590817830285896406e+00,1.608228921158574565e+01,-2.342956255108612496e+01
1.648748366456180037e+01,3.876163033861645602e+01,1.523454842227131678e+00
-2.168353333196533939e+01,3.174975099504520060e+01,-3.122882290695116581e+00
-4.807471292112267314e+00,4.454065200000000146e+01,6.189992443883178375e+00
1.044239026076310495e+01,6.623594904278778728e+00,1.189518374434708825e+01
-2.384780670473038811e+01,2.827833806363104330e+01,-1.136183243255779196e+01
-1.302419583889586718e+01,9.354627437844055038e+00,1.170726335022839137e+01
-1.804002401005781309e+01,9.272136317666669569e+00,-5.646400713397101256e+00
