x,y,z,fx,fy,fz,p
-2.325175315016577926e+00,8.830658091141714294e-01,-1.210358590916159827e+00,-6.376307703196881249e+01,0.000000000000000000e+00,-6.376307703196879828e+01,3.005820277241688927e+03
-1.259993554697107498e-01,2.500000000000000000e+00,-3.318126630098206409e+00,0.000000000000000000e+00,1.524985856491526848e+00,0.000000000000000000e+00,5.083286188305088160e+01
-5.277177201888170188e-01,2.500000000000000000e+00,2.115131856447286296e+00,0.000000000000000000e+00,4.709851976760973891e+00,-0.000000000000000000e+00,1.569950658920324429e+02
-2.283620842210057678e+00,7.000041015685911638e-01,1.251913063722682740e+00,-6.802354762241056108e+01,0.000000000000000000e+00,6.802354762241056108e+01,3.206660786944836673e+03
3.375628357216477138e+00,1.238874728041216455e+00,1.599055487162608369e-01,4.304011520602528407e+01,0.000000000000000000e+00,4.304011520602529117e+01,2.028930488348714334e+03
2.295077449661779845e+00,2.500000000000000000e+00,-1.126047864850564295e+00,0.000000000000000000e+00,3.547627576594449827e+00,0.000000000000000000e+00,1.182542525531483051e+02
2.427716752101716224e+00,-1.387139571331307941e+00,-1.107817153831019308e+00,4.820090107964039561e+01,0.000000000000000000e+00,-4.820090107964039561e+01,2.272212267514380073e+03
-3.214828863667959613e+00,1.311653444510012534e+00,-3.207050422647776955e-01,-4.321819206366086519e+01,0.000000000000000000e+00,-4.321819206366085808e+01,2.037325111922481483e+03
-2.503857299899143740e+00,1.905414067727711380e+00,-1.031676606033594013e+00,-2.786271727231510198e+01,0.000000000000000000e+00,-2.786271727231509843e+01,1.313461088369169829e+03
1.733675779233858849e+00,1.276055957113152450e+00,-1.801858126698876905e+00,5.404628914421994068e+01,0.000000000000000000e+00,-5.404628914421994068e+01,2.547766503456453393e+03
-1.909629051900617325e-01,-2.500000000000000000e+00,3.265455477963381981e+00,-0.000000000000000000e+00,-1.590941132274744207e+00,0.000000000000000000e+00,5.303137107582479359e+01
2.575711785995836500e+00,2.500000000000000000e+00,-7.884983962755294506e-02,0.000000000000000000e+00,3.483233094618566561e+00,0.000000000000000000e+00,1.161077698206188700e+02
2.777977449950297828e+00,2.870540371911012301e-02,7.575564559824401467e-01,6.993197988045193370e+01,0.000000000000000000e+00,6.993197988045194791e+01,3.296625146351251260e+03
1.824105479660909301e+00,-3.081908362267387069e-01,1.711428426271828451e+00,7.536276973006582125e+01,0.000000000000000000e+00,7.536276973006583546e+01,3.552635035008654540e+03
