x,y,z
1.092783296080996251e+02,1.340902812829198183e+02,0.000000000000000000e+00
1.325330705820318258e+02,1.510799425321549734e+02,5.000000000000000000e+01
1.460251856250847027e+02,1.519571145204015181e+02,5.000000000000000000e+01
1.404290641826630122e+02,1.461600349626180275e+02,5.000000000000000000e+01
1.436118518164839202e+02,1.347156821416992329e+02,5.000000000000000000e+01
1.000000000000000000e+02,1.589234434563751392e+02,1.917423851321002459e+01
1.118017973054038521e+02,1.578143527405131863e+02,5.000000000000000000e+01
1.090749570986594819e+02,1.363168584074483647e+02,5.000000000000000000e+01
1.348706152448475848e+02,1.300000000000000000e+02,1.674710066782687079e+01
1.229152736740911678e+02,1.300000000000000000e+02,4.868092285030473931e+01
1.187639392046155393e+02,1.800000000000000000e+02,3.391692976220983269e+01
1.114296857137308621e+02,1.677921292557754214e+02,0.000000000000000000e+00
1.489698098869320404e+02,1.800000000000000000e+02,2.450291800928032160e+01
1.445144343854160525e+02,1.800000000000000000e+02,4.865824754558353504e+01
1.493707886175454860e+02,1.711550998460243136e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.663220839586530246e+02,1.959831607060755942e+01
1.500000000000000000e+02,1.503268623350639359e+02,4.271981188467745483e+01
1.000000000000000000e+02,1.339958081316137850e+02,4.062303199040939461e+01
1.464852084161372261e+02,1.319907781841954488e+02,5.000000000000000000e+01
1.133604085461011834e+02,1.767868294117177186e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.685576964927795132e+02,2.026646873638344104e+01
1.000000000000000000e+02,1.676594280972916522e+02,1.421856299023216508e+01
1.500000000000000000e+02,1.668586111179170643e+02,6.225264284313858809e+00
1.440596929326464419e+02,1.655525854062481699e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.740598709721480191e+02,1.723828760646518177e+01
1.132938664377012401e+02,1.800000000000000000e+02,1.047491479230719591e+01
1.000000000000000000e+02,1.705029012896632139e+02,3.765076088647456576e-01
1.203273413622181636e+02,1.300000000000000000e+02,3.739324146917773106e+01
1.500000000000000000e+02,1.635665395428331976e+02,1.994049906630936420e+01
1.500000000000000000e+02,1.764961642975632685e+02,2.216394468578616994e+01
1.079365038755437780e+02,1.800000000000000000e+02,3.146778364281153628e+01
1.127155333031824398e+02,1.496382699547576181e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.698702547449236704e+02,1.445626887281297712e+01
1.273331517709162313e+02,1.709318904687005727e+02,0.000000000000000000e+00
1.035228548053620443e+02,1.320807531410117974e+02,0.000000000000000000e+00
1.003941858302688104e+02,1.641817313335025972e+02,0.000000000000000000e+00
1.427233516270941891e+02,1.800000000000000000e+02,8.141876278579516679e+00
1.153100695102842792e+02,1.479350658061792387e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.658590904686360545e+02,4.847199368112915607e+01
1.419355234909006072e+02,1.361287104886713450e+02,0.000000000000000000e+00
1.328920610934666229e+02,1.800000000000000000e+02,1.590801489369080457e+01
1.000000000000000000e+02,1.783735042021057779e+02,1.560159975712849878e+01
1.045960534155407515e+02,1.300000000000000000e+02,4.568685673942440850e+00
1.327721010760739091e+02,1.666452213145584551e+02,5.000000000000000000e+01
1.363693019134878170e+02,1.300000000000000000e+02,1.558532605947229221e+01
1.000000000000000000e+02,1.609670038693457457e+02,3.157563858058357908e+01
1.019867611014488062e+02,1.601946504839342538e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.670926840965885845e+02,1.273755864537067239e+01
1.500000000000000000e+02,1.656064806747375826e+02,3.706234436762614592e+01
1.500000000000000000e+02,1.638312609084182156e+02,1.579502665341848200e+01
1.100300408967508190e+02,1.519519576118416921e+02,0.000000000000000000e+00
1.453708086364840995e+02,1.696397759752016157e+02,5.000000000000000000e+01
1.500000000000000000e+02,1.654009683329633162e+02,2.789996167168594354e+01
1.127175802036825019e+02,1.800000000000000000e+02,6.822954799106277335e+00
1.191191138691823141e+02,1.800000000000000000e+02,2.943800643157379326e+01
1.458558251836934971e+02,1.300000000000000000e+02,3.634200583095184811e+01
1.116983642552535656e+02,1.564022827981688977e+02,5.000000000000000000e+01
1.000000000000000000e+02,1.454012183827847480e+02,3.343586498863845691e+01
1.271582832815615518e+02,1.338080876308504230e+02,5.000000000000000000e+01
1.043367330763003764e+02,1.472269848910405585e+02,5.000000000000000000e+01
1.117418017022299068e+02,1.300000000000000000e+02,6.022088337526032120e+00
1.500000000000000000e+02,1.558603823778436492e+02,4.847335240062533579e-01
1.253307879875228821e+02,1.300000000000000000e+02,4.872182467404794437e+01
1.500000000000000000e+02,1.740000949026827186e+02,2.565057095141559174e+01
1.464240044448764877e+02,1.300000000000000000e+02,1.803406045044679118e+01
1.180019223469458751e+02,1.300000000000000000e+02,1.731412619316558121e+01
1.034197921651011711e+02,1.800000000000000000e+02,1.166295128511378465e+01
1.500000000000000000e+02,1.601397294563505795e+02,8.321200393226257930e+00
1.425315054548296985e+02,1.572810722597122037e+02,0.000000000000000000e+00
1.468755852775967696e+02,1.800000000000000000e+02,3.576608544830754965e+01
1.046167066483796049e+02,1.300000000000000000e+02,2.435271427934759814e+00
1.326987306543335876e+02,1.800000000000000000e+02,3.248615643521375773e+01
1.116902232583986461e+02,1.300000000000000000e+02,3.878491898025170315e+01
1.079041056121545665e+02,1.300000000000000000e+02,3.557991815726788332e+01
1.423075602669640887e+02,1.693767034795530719e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.303784674243585187e+02,4.687235649708234320e+01
1.382083318412529422e+02,1.614961061338039485e+02,5.000000000000000000e+01
1.189541119206918438e+02,1.697837626099271517e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.488894634583786569e+02,4.939797858594469915e+01
1.500000000000000000e+02,1.341615916824030705e+02,1.374110205264797457e+01
1.363623279837169662e+02,1.800000000000000000e+02,2.025222352658186509e+01
1.000000000000000000e+02,1.695241075655238205e+02,1.860934592808877852e+01
1.063719367104160085e+02,1.368277338449240403e+02,5.000000000000000000e+01
1.000000000000000000e+02,1.300043815890130929e+02,7.554699100217410646e+00
1.000000000000000000e+02,1.720464382022885275e+02,3.976806231201973674e+01
1.117127041488909924e+02,1.484387763326876097e+02,0.000000000000000000e+00
1.003679168643809874e+02,1.800000000000000000e+02,9.935301140732754277e+00
1.047292607556566537e+02,1.800000000000000000e+02,1.226461183115600306e+01
1.500000000000000000e+02,1.577576851643805185e+02,4.752465364080835286e+01
1.102652387217053160e+02,1.758276215925701536e+02,5.000000000000000000e+01
1.220924715563129581e+02,1.385418462941099733e+02,0.000000000000000000e+00
1.107107686331409724e+02,1.765203038050337341e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.354385730937694916e+02,1.454095541090247856e+01
1.117099289679958645e+02,1.800000000000000000e+02,1.091678491886380442e+01
1.144330175578097339e+02,1.772866102021637573e+02,5.000000000000000000e+01
1.361706637246887794e+02,1.574065090903356463e+02,0.000000000000000000e+00
1.434064768077791427e+02,1.800000000000000000e+02,4.496057732882598401e+01
1.398291673958882484e+02,1.306818790927464420e+02,0.000000000000000000e+00
1.500000000000000000e+02,1.441340908888916488e+02,7.204749852576846969e+00
1.500000000000000000e+02,1.310433595145360925e+02,1.928664071122909718e-01
1.437169951149620886e+02,1.800000000000000000e+02,3.792304300128119365e+01
1.242656668800960631e+02,1.300000000000000000e+02,1.130691080634776924e+01
1.053734568521681751e+02,1.594098986423573479e+02,5.000000000000000000e+01
1.241537165731886745e+02,1.300000000000000000e+02,2.606807227692170770e+00
1.000000000000000000e+02,1.778025085034092854e+02,2.976749541168001301e+01
1.500000000000000000e+02,1.754392025420920902e+02,1.114487989169051829e+01
1.481955514147132646e+02,1.300000000000000000e+02,4.002077832804578605e+01
1.500000000000000000e+02,1.489758072305713767e+02,3.209057899361189925e+01
